year,name,firstname,lastname,position,heightfeet,heightinches,heightinchestotal,weight,arms,hands,fortyyd,twentyyd,tenyd,twentyss,threecone,vertical,broad,bench,round,college,pick,pickround,picktotal,wonderlic,nflgrade,Rnd,Pick,Tm,Name,Pos,Age,To,AP1 Misc,PB Misc,St,CarAV Approx Val,DrAV Approx Val,G,Cmp Passing,Att Passing,Yds Passing,TD Passing,Int Passing,Att Rushing,Yds Rushing,TD Rushing,Rec Receiving,Yds Receiving,TD Receiving,Tkl,Int,Sk,College/Univ,Source,PICK,TEAM,PLAYER,POS,COLLEGE,YRS,DOLLARS,S.BONUS,G'TEED,2015 CAP HIT
2015,Ibraheim Campbell,Ibraheim,Campbell,SS,5,11,71,208,0,0,0,0,0,0,0,0,0,23,0,Northwestern,,0,0,0,5.2,4,115,CLE,Ibraheim Campbell,SS,23,2015,0,0,0,,,11,,,,,,,,,,,,9,,,Northwestern,College Stats,115,CLEfrom BUF,Ibraheim Campbell,SS,Northwestern,4,"$2,792,010","$512,010","$512,010","$563,002"
2015,A.J. Cann,A.J.,Cann,OG,6,3,75,313,0,0,0,0,0,0,0,0,0,26,0,South Carolina,,0,0,0,6,3,67,JAX,A.J. Cann,G,23,2015,0,0,0,,,10,,,,,,,,,,,,,,,South Carolina,College Stats,67,JAC,A.J. Cann,G,South Carolina,4,"$3,372,698","$801,596","$801,596","$635,399"
2015,Joe Cardona,Joe,Cardona,LS,6,2,74,242,0,0,4.91,0,0,0,0,33,0,30,0,Navy,,0,0,0,0,5,166,NWE,Joe Cardona,LS,23,2015,0,0,0,,,12,,,,,,,,,,,,,,,Navy,College Stats,166,NEfrom GB,Joe Cardona,LS,Navy,4,"$2,480,000","$100,000","$100,000","$477,500"
2015,Alex Carter,Alex,Carter,CB,6,0,72,196,0,0,4.51,0,0,4.07,7.05,40,121,17,0,Stanford,,0,0,0,5.5,3,80,DET,Alex Carter,CB,20,,0,0,0,,,,,,,,,,,,,,,,,,Stanford,College Stats,80,"DETfrom KC 
via MIN",Alex Carter,CB,Stanford,4,"$3,058,747","$688,747","$688,747","$607,186"
2015,Anthony Chickillo,Anthony,Chickillo,DE,6,3,75,267,0,0,4.79,0,0,4.25,7.17,34.5,114,27,0,Miami,,0,0,0,5.1,6,212,PIT,Anthony Chickillo,DE,22,2015,0,0,0,,,6,,,,,,,,,,,,,,,Miami (FL),College Stats,212 (C),PIT,Anthony Chickillo,DE,Miami (FL),4,"$2,370,487","$90,487","$90,487","$457,621"
2015,Gerald Christian,Gerald,Christian,TE,6,3,75,244,0,0,4.87,0,0,4.7,0,0,0,28,0,Louisville,,0,0,0,5.3,7,256,ARI,Gerald Christian,TE,24,,0,0,0,,,,,,,,,,,,,,,,,,Louisville,College Stats,256 (C),ARI,Gerald Christian,TE,Louisville,4,"$2,332,783","$52,783","$52,783","$448,195"
2015,Frank Clark,Frank,Clark,DE,6,3,75,271,0,0,4.79,0,0,4.05,7.08,38.5,118,19,0,Michigan,,0,0,0,4.8,2,63,SEA,Frank Clark,DE,22,2015,0,0,0,,,11,,,,,,,,,,,,11,,3,Michigan,College Stats,63,SEA,Frank Clark,DE,Michigan,4,"$3,732,225","$974,346","$1,214,346","$678,586"
2015,Kaelin Clay,Kaelin,Clay,WR,5,10,70,195,0,0,4.51,0,0,4.26,6.97,33,113,10,0,Utah,,0,0,0,5.1,6,184,TAM,Kaelin Clay,WR,23,2015,0,0,0,,,3,,,,,,,,,,,,,,,Utah,College Stats,184,TBfrom STL,Kaelin Clay,WR,Utah,4,"$2,410,477","$130,477","$130,477","$467,619"
2015,T.J. Clemmings,T.J.,Clemmings,OT,6,5,77,309,0,0,5.14,0,0,4.54,7.68,32.5,111,22,0,Pittsburgh,,0,0,0,6.1,4,110,MIN,T.J. Clemmings,T,23,2015,0,0,1,,,12,,,,,,,,,,,,,,,Pittsburgh,College Stats,110,MIN,T.J. Clemmings,T,Pittsburgh,4,"$2,804,955","$524,955","$524,955","$566,238"
2015,Sammie Coates,Sammie,Coates,WR,6,1,73,212,0,0,4.43,0,0,4.06,6.98,41,131,23,0,Auburn,,0,0,0,5.6,3,87,PIT,Sammie Coates,WR,22,2015,0,0,0,,,7,,,,,,,,,1,11,0,,,,Auburn,College Stats,87,PIT,Sammie Coates,WR,Auburn,4,"$3,000,334","$631,515","$631,515","$592,878"
