R1_year,R5_pos,Phys3_htin,Phys4_wt,Speed1_40,Speed4_20ss,Speed5_3cone,Strg1_v,Strg2_b,Strg3_bench,Draft6_grade,Draft8_pick,Draft9_team
2015,OT,77,327,5.34,5.15,0,26,97,27,5.6,102,CAR
2015,RB,73,230,4.48,4.46,7.16,33.5,117,16,5.3,155,BUF
2015,DE,77,302,4.97,4.53,7.59,29.5,106,0,7.4,6,NYJ
2015,TE,76,249,4.78,4.37,0,34.5,117,17,5.8,55,BAL
2015,CB,72,194,4.57,4.28,7.08,40,132,12,6,78,NOR
2015,ILB,72,245,4.77,4.2,7.21,37,119,22,5.1,127,DAL
2015,ILB,74,237,4.77,4.51,0,35,111,23,5.4,118,KAN
2015,QB,76,231,4.97,4.36,7.16,28.5,103,0,6.5,1,TAM
2015,DT,75,300,5.07,4.56,7.73,26.5,100,34,5.7,113,DET
2015,RB,73,226,4.61,4.22,7.19,36,117,22,5.7,36,JAX
2014,WR,73,195,4.5,4.08,6.8,30.5,117,4,5.2,176,GNB
2014,WR,73,212,4.56,4.3,6.82,39.5,123,14,6,53,GNB
2014,CB,69,187,4.61,4.15,0,35.5,117,13,5.1,147,ATL
2014,TE,77,265,4.74,4.3,7.42,33,118,28,5.4,49,NYJ
2014,RB,68,173,4.26,4.06,6.86,38,122,20,5.4,97,PIT
2014,OLB,75,252,0,0,0,0,0,0,5.5,50,SDG
2014,OLB,77,255,4.66,4.19,6.82,34.5,119,15,6.6,9,MIN
2014,OLB,73,237,4.64,4.35,7.24,35,123,22,5.4,156,DEN
2014,WR,71,198,4.43,3.94,6.69,38.5,122,7,5.9,12,NYG
2014,WR,77,240,4.61,4.39,7.33,32.5,119,13,6.4,28,CAR
2014,SS,70,193,4.71,4.22,7.08,35.5,117,15,5.2,152,NYG
2014,OT,76,302,4.97,4.44,7.37,32,114,22,5.5,35,CLE
2014,TE,76,256,0,0,0,0,0,0,5.1,230,PIT
2014,RB,74,223,4.63,4.5,7.15,32,121,13,5.2,181,HOU
