year,name,position,heightfeet,heightinches,heightinchestotal,weight,fortyyd,twentyss,threecone,vertical,broad,bench,college,nflgrade,Pick,Tm,Name,Pos,Age,To,G,College/Univ,PICK,TEAM,PLAYER,POS,COLLEGE,YRS,DOLLARS,S.BONUS,G'TEED,2015 CAP HIT
2015,A.J. Derby,TE,6,4,76,255,0,0,0,0,0,15,Arkansas,5.3,202,NWE,A.J. Derby,TE,24,,,Arkansas,202,"NEfrom BAL 
via CLE",A.J. Derby,TE,Arkansas,4,"$2,392,053","$112,053","$112,053","$346,013"
2015,Xzavier Dickson,OLB,6,3,75,260,4.74,4.53,7.56,29.5,100,19,Alabama,5.1,253,NWE,Xzavier Dickson,OLB,,,,Alabama,253 (C),NE,Xzavier Dickson,OLB,Alabama,4,"$2,332,783","$52,783","$52,783","$448,195"
2015,Quandre Diggs,CB,5,9,69,196,4.56,4.15,7.22,35.5,113,17,Texas,5.2,200,DET,Quandre Diggs,CB,23,2015,12,Texas,200,DET,Quandre Diggs,CB,Texas,4,"$2,395,352","$115,352","$115,352","$463,838"
2015,Stefon Diggs,WR,6,0,72,195,4.46,4.32,7.03,35,115,0,Maryland,5.6,146,MIN,Stefon Diggs,WR,21,2015,9,Maryland,146,MINfrom ATL,Stefon Diggs,WR,Maryland,4,"$2,507,713","$227,713","$227,713","$491,928"
2015,Andrew Donnal,OT,6,6,78,313,5.31,4.77,7.84,32,101,17,Iowa,5.4,119,STL,Andrew Donnal,T,23,2015,5,Iowa,119,STLfrom PHI,Andrew Donnal,T,Iowa,4,"$2,776,935","$496,935","$496,935","$559,233"
2015,Phillip Dorsett,WR,5,10,70,185,4.33,4.11,6.7,37,122,13,Miami,5.7,29,IND,Phillip Dorsett,WR,22,2015,7,Miami (FL),29,IND,Phillip Dorsett,WR,Miami (FL),4,"$8,135,414","$4,176,665","$6,591,040","$1,479,166"
2015,Lorenzo Doss,CB,5,10,70,182,4.5,4.26,7.2,33.5,115,9,Tulane,5.6,164,DEN,Lorenzo Doss,CB,21,2015,4,Tulane,164,DEN,Lorenzo Doss,CB,Tulane,4,"$2,477,213","$197,213","$197,213","$484,303"
2015,Jamil Douglas,OG,6,4,76,304,5.25,4.75,7.99,29,99,28,Arizona State,5.2,114,MIA,Jamil Douglas,G,23,2015,12,Arizona St.,114,MIA,Jamil Douglas,G,Arizona State,4,"$2,798,565","$518,565","$518,565","$564,641"
2015,B.J. Dubose,OLB,6,4,76,284,5.06,0,0,0,0,26,Louisville,5.2,193,MIN,B.J. Dubose,DE,23,,,Louisville,193,MINfrom KC,B.J. Dubose,DE,Louisville,4,"$2,399,860","$119,860","$119,860","$464,965"
2015,Bud Dupree,OLB,6,4,76,269,4.56,0,0,42,138,0,Kentucky,5.9,22,PIT,Bud Dupree,OLB,22,2015,12,Kentucky,22,PIT,Bud Dupree,OLB,Kentucky,4,"$9,222,282","$4,967,114","$8,631,999","$1,676,778"
